,customer_id,trans_date,tran_amount,response,month,month_year
0,CS5295,2013-02-11,35,1,2,2013-02
1,CS4768,2015-03-15,39,1,3,2015-03
2,CS2122,2013-02-26,52,0,2,2013-02
3,CS1217,2011-11-16,99,0,11,2011-11
4,CS1850,2013-11-20,78,0,11,2013-11
5,CS5539,2014-03-26,81,0,3,2014-03
6,CS2724,2012-02-06,93,0,2,2012-02
7,CS5902,2015-01-30,89,0,1,2015-01
8,CS6040,2013-01-08,76,0,1,2013-01
9,CS3802,2013-08-20,75,1,8,2013-08
10,CS3494,2013-07-02,94,0,7,2013-07
11,CS3780,2013-03-25,80,0,3,2013-03
12,CS1171,2012-11-03,59,0,11,2012-11
13,CS2892,2013-05-12,43,0,5,2013-05
14,CS5552,2014-12-29,78,0,12,2014-12
15,CS6043,2014-01-15,98,0,1,2014-01
16,CS4147,2013-07-08,81,0,7,2013-07
17,CS4655,2013-12-30,93,0,12,2013-12
18,CS3904,2014-07-20,103,0,7,2014-07
19,CS4102,2011-07-09,96,0,7,2011-07
20,CS2086,2013-03-05,75,0,3,2013-03
21,CS6085,2013-01-09,49,0,1,2013-01
22,CS1328,2013-02-06,54,0,2,2013-02
23,CS4564,2012-03-27,48,0,3,2012-03
24,CS5910,2012-01-01,98,0,1,2012-01
25,CS2748,2013-03-23,37,1,3,2013-03
26,CS5147,2013-04-29,72,0,4,2013-04
27,CS1770,2012-11-02,83,0,11,2012-11
28,CS3510,2011-10-24,81,0,10,2011-10
29,CS2509,2011-12-05,105,0,12,2011-12
30,CS2859,2015-02-27,77,0,2,2015-02
31,CS1512,2015-02-21,71,0,2,2015-02
32,CS4148,2013-08-22,48,0,8,2013-08
33,CS1735,2012-03-31,70,0,3,2012-03
34,CS1588,2012-01-27,70,0,1,2012-01
35,CS5514,2013-01-09,36,1,1,2013-01
36,CS5933,2013-10-07,48,0,10,2013-10
37,CS2797,2014-03-06,87,1,3,2014-03
38,CS5313,2012-12-02,88,0,12,2012-12
39,CS5966,2012-03-09,39,0,3,2012-03
40,CS5211,2014-05-18,51,0,5,2014-05
41,CS1511,2015-01-13,47,0,1,2015-01
42,CS6087,2014-11-24,37,0,11,2014-11
43,CS5909,2012-02-04,80,0,2,2012-02
44,CS2845,2013-03-08,105,0,3,2013-03
45,CS1433,2012-11-05,78,0,11,2012-11
46,CS4897,2014-04-12,45,1,4,2014-04
47,CS2296,2012-12-28,79,0,12,2012-12
48,CS1494,2013-06-29,59,0,6,2013-06
49,CS3688,2014-06-19,55,0,6,2014-06
50,CS2287,2011-12-23,94,0,12,2011-12
51,CS3779,2011-06-26,69,0,6,2011-06
52,CS1423,2014-06-05,78,0,6,2014-06
53,CS2501,2012-11-14,59,1,11,2012-11
54,CS3434,2013-02-22,98,0,2,2013-02
55,CS2662,2014-08-31,88,0,8,2014-08
56,CS2209,2012-03-12,35,0,3,2012-03
57,CS4530,2011-06-05,40,0,6,2011-06
58,CS2848,2013-02-04,53,0,2,2013-02
59,CS2596,2011-09-19,55,0,9,2011-09
60,CS4421,2012-05-20,86,0,5,2012-05
61,CS4905,2012-04-13,93,0,4,2012-04
62,CS5704,2011-12-04,79,0,12,2011-12
63,CS2403,2014-07-27,94,1,7,2014-07
64,CS5480,2012-01-28,63,1,1,2012-01
65,CS5811,2013-08-23,91,1,8,2013-08
66,CS2051,2014-12-09,101,0,12,2014-12
67,CS3957,2012-08-30,69,0,8,2012-08
68,CS4704,2014-11-25,41,0,11,2014-11
69,CS2289,2012-05-19,67,0,5,2012-05
70,CS5218,2014-06-21,45,0,6,2014-06
71,CS4637,2011-05-20,71,1,5,2011-05
72,CS3158,2012-05-06,91,0,5,2012-05
73,CS4176,2012-07-30,49,0,7,2012-07
74,CS1939,2011-11-25,101,0,11,2011-11
75,CS5403,2011-12-01,64,0,12,2011-12
76,CS5489,2014-12-02,77,0,12,2014-12
77,CS4563,2011-05-30,101,0,5,2011-05
78,CS3508,2012-05-23,67,0,5,2012-05
79,CS2703,2014-10-12,40,1,10,2014-10
80,CS2596,2013-05-01,76,0,5,2013-05
81,CS5990,2012-10-19,103,0,10,2012-10
82,CS4215,2011-07-09,54,0,7,2011-07
83,CS4811,2012-01-26,77,1,1,2012-01
84,CS2070,2013-01-30,41,0,1,2013-01
85,CS3419,2015-01-29,38,0,1,2015-01
86,CS3668,2014-08-14,102,0,8,2014-08
87,CS4623,2013-09-27,89,1,9,2013-09
88,CS4708,2013-07-02,48,0,7,2013-07
89,CS1816,2013-09-22,64,0,9,2013-09
90,CS5376,2013-12-08,44,0,12,2013-12
91,CS4568,2011-11-15,70,0,11,2011-11
